"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TranscieverClass"
"1294660",367774870,"2019-01-01T04:35:46",18.3029,-65.2984,0.2,135,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"1295256",338536000,"2019-01-01T04:38:24",18.33527,-65.6312,0,-176.4,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"1295597",366995010,"2019-01-01T04:38:33",18.44771,-66.0911,0,-138.3,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1295851",367128950,"2019-01-01T04:39:13",18.4477,-66.0908,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1296006",366029970,"2019-01-01T04:39:01",18.46111,-66.09347,0,151.6,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1296152",367529160,"2019-01-01T04:36:13",18.44838,-66.08928,0,-104.5,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"1296178",367307990,"2019-01-01T04:38:36",17.80564,-66.22904,5.8,-138.3,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1296354",339758000,"2019-01-01T04:36:17",18.4589,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1297097",319089300,"2019-01-01T04:37:22",18.45982,-66.09014,0,-141.4,277,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"1297331",367733250,"2019-01-01T04:39:38",18.46002,-66.08817,0,133,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"1297388",367733250,"2019-01-01T04:36:38",18.46003,-66.08819,0,133,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"1297820",367618240,"2019-01-01T04:39:19",18.2298,-65.62023,0,-91.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"1297909",367307990,"2019-01-01T04:39:56",17.80562,-66.23131,5.7,-142.8,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1298036",367744930,"2019-01-01T04:36:30",18.28865,-65.63338,0.1,57.7,511,"RESPIRE","","WDI9068",37,NA,NA,NA,NA,NA,"B"
"1298212",246506000,"2019-01-01T04:37:34",18.44677,-65.35611,13.4,99,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1298556",366995010,"2019-01-01T04:39:54",18.44772,-66.0911,0.1,-129.8,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1298625",367775170,"2019-01-01T04:37:13",18.28786,-65.6356,0,88.7,511,"STRESS RELEASE","","WDJ4176",37,NA,NA,NA,NA,NA,"B"
"1298669",368001090,"2019-01-01T04:36:42",18.34339,-65.57052,0.2,-56.2,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"1298750",246506000,"2019-01-01T04:39:23",18.44569,-65.34915,13.4,99.1,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1298817",367128950,"2019-01-01T04:37:42",18.4477,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1298892",338162314,"2019-01-01T04:37:08",18.34169,-65.63866,0.1,0,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"1299065",367574560,"2019-01-01T04:37:28",18.2867,-65.63245,0,-136.1,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"1299085",338138014,"2019-01-01T04:37:48",18.45952,-66.08821,0.1,109.1,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"1299314",368008070,"2019-01-01T04:37:02",18.28733,-65.63241,0.1,189.7,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"1299323",368020590,"2019-01-01T04:35:04",18.30505,-65.2988,0.1,-120.1,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"1299435",235084084,"2019-01-01T04:37:15",18.45908,-66.08995,0.1,68.7,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"1300421",338071607,"2019-01-01T04:40:12",18.4607,-66.0909,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1300568",368025180,"2019-01-01T04:37:31",18.45975,-66.08793,0,78.2,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"1300618",367515760,"2019-01-01T04:40:03",18.4481,-66.08941,0,-147.2,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"1300694",338142008,"2019-01-01T04:37:33",18.30406,-65.29654,0.2,-102.6,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"1300771",366722810,"2019-01-01T04:37:48",18.45992,-66.08804,0.1,137.6,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"1300872",367433610,"2019-01-01T04:37:57",18.28736,-65.63235,0.1,-151,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"1300930",366029970,"2019-01-01T04:40:21",18.46111,-66.09347,0,153.7,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1300958",368014910,"2019-01-01T04:37:15",17.93699,-66.15596,0,-137.5,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1301538",367555530,"2019-01-01T04:37:48",18.05351,-65.83679,0,152.3,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"1301791",367649980,"2019-01-01T04:38:21",18.28744,-65.63308,0.1,-121.2,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"1301962",338098422,"2019-01-01T04:37:18",18.28618,-65.63281,0,0,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"1302570",367723910,"2019-01-01T04:37:52",18.28901,-65.63448,0.1,114.8,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"1302642",367730640,"2019-01-01T04:38:24",18.2871,-65.63303,0.1,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"1303228",368020590,"2019-01-01T04:38:05",18.30506,-65.2988,0.2,144.4,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"1303305",246506000,"2019-01-01T04:41:14",18.4445,-65.34206,13.3,100.1,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1304403",367515760,"2019-01-01T04:41:34",18.44811,-66.08942,0,-149.7,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"1305115",338173000,"2019-01-01T04:38:44",18.22969,-65.62009,0,142.4,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"1305203",338536000,"2019-01-01T04:41:34",18.3353,-65.63123,0.1,-185.9,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"1305213",367307990,"2019-01-01T04:41:47",17.8056,-66.23447,5.9,-141,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1305601",367719070,"2019-01-01T04:38:08",18.28749,-65.63335,0.1,128.3,511,"CHATEAU DU MER","","WDI6475",37,NA,NA,NA,NA,NA,"B"
"1305758",338109829,"2019-01-01T04:38:43",18.33942,-65.63137,0.1,-167.2,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"1305966",338210327,"2019-01-01T04:38:25",18.28826,-65.63513,0,178.5,511,"POTENCIA","","",37,NA,15,NA,NA,NA,"B"
"1306045",338071607,"2019-01-01T04:42:21",18.4607,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1306751",366029970,"2019-01-01T04:42:01",18.4611,-66.09346,0,158.7,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1307059",367529160,"2019-01-01T04:39:13",18.44839,-66.08925,0,-107.1,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"1307296",367396910,"2019-01-01T04:42:35",17.9368,-66.15605,0.1,162.7,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"1307412",338926417,"2019-01-01T04:41:47",18.45973,-66.11525,0,118.2,277,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"1307898",339758000,"2019-01-01T04:39:14",18.45888,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1307988",671932000,"2019-01-01T04:39:27",18.46301,-66.10326,0.1,-143,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"1308981",367015490,"2019-01-01T04:39:42",18.05359,-65.83672,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"1309159",367128950,"2019-01-01T04:42:22",18.44773,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1309558",368014910,"2019-01-01T04:40:20",17.93701,-66.15597,0,-139.2,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1309640",338098422,"2019-01-01T04:40:18",18.28617,-65.63277,0,42.2,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"1309708",235084084,"2019-01-01T04:40:12",18.45909,-66.08995,0,68.7,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"1309830",368008070,"2019-01-01T04:40:03",18.28733,-65.63242,0.1,189.7,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"1310222",367618240,"2019-01-01T04:40:28",18.22979,-65.62022,0,-91.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"1310495",368001090,"2019-01-01T04:39:42",18.34337,-65.57051,0.4,136.5,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"1310959",230185000,"2019-01-01T04:40:16",18.44863,-66.08981,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
"1311020",367433610,"2019-01-01T04:40:57",18.28736,-65.63236,0.1,-147,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"1311834",368025180,"2019-01-01T04:40:30",18.45974,-66.08794,0,78.2,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"1311936",367649980,"2019-01-01T04:41:22",18.28744,-65.63307,0,-107.1,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"1312315",367396880,"2019-01-01T04:41:01",17.93669,-66.15604,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"1312563",338173000,"2019-01-01T04:41:45",18.22969,-65.62006,0,142.4,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"1312603",367774870,"2019-01-01T04:41:45",18.3029,-65.2984,0.2,153.7,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"1312731",338142008,"2019-01-01T04:40:34",18.30402,-65.29652,0.2,163.6,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"1312863",338162314,"2019-01-01T04:40:09",18.34172,-65.63868,0.1,0,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"1313242",367730640,"2019-01-01T04:41:25",18.2871,-65.63303,0.1,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"1313248",338238828,"2019-01-01T04:41:36",17.95484,-66.29212,0.1,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"1313455",338109829,"2019-01-01T04:41:43",18.33943,-65.63138,0,-177.3,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"1313903",367719070,"2019-01-01T04:41:09",18.28749,-65.63334,0,128.3,511,"CHATEAU DU MER","","WDI6475",37,NA,NA,NA,NA,NA,"B"
"1314408",339758000,"2019-01-01T04:42:14",18.4589,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1314875",367529160,"2019-01-01T04:42:13",18.44837,-66.08928,0,-105.9,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"1315025",367015490,"2019-01-01T04:42:41",18.05359,-65.83673,0.2,7,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"1315245",367744930,"2019-01-01T04:42:30",18.28865,-65.63338,0,57.7,511,"RESPIRE","","WDI9068",37,NA,NA,NA,NA,NA,"B"
"1315380",636018640,"2019-01-01T04:42:38",18.42961,-66.10726,0.1,143,195,"","","",NA,5,NA,NA,NA,NA,"A"
"1315596",671932000,"2019-01-01T04:42:27",18.46301,-66.10326,0.1,-125,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"1316510",636018640,"2019-01-01T04:39:38",18.42964,-66.10725,0,124.7,195,"","","",NA,5,NA,NA,NA,NA,"A"
"1316789",367574560,"2019-01-01T04:40:27",18.2867,-65.63245,0,-137.3,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"1318565",367515760,"2019-01-01T04:43:03",18.44809,-66.08943,0,-136.2,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"1318819",246506000,"2019-01-01T04:42:23",18.4438,-65.33765,13.3,98.8,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1319093",319089300,"2019-01-01T04:43:24",18.45982,-66.09014,0,-173.2,276,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"1319450",367128950,"2019-01-01T04:43:32",18.44773,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1319931",366722810,"2019-01-01T04:43:47",18.45994,-66.08801,0,149.9,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"1320256",366995010,"2019-01-01T04:44:03",18.44771,-66.0911,0.1,-119,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1320447",367555530,"2019-01-01T04:43:47",18.05351,-65.83679,0,154.6,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"1320486",367592540,"2019-01-01T04:43:03",18.30792,-65.29028,0.2,-109.5,511,"HADA","","WDG9920",37,NA,14,NA,NA,NA,"B"
"1320640",367307990,"2019-01-01T04:44:08",17.8056,-66.2385,5.8,-141,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1320685",366029970,"2019-01-01T04:44:13",18.46112,-66.09347,0,158.8,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1320951",338071607,"2019-01-01T04:44:12",18.46071,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1321289",338536000,"2019-01-01T04:44:34",18.3353,-65.63119,0,-141.8,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"1321865",338926417,"2019-01-01T04:43:47",18.45973,-66.11526,0,151,277,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"1322125",367723910,"2019-01-01T04:43:55",18.28901,-65.63448,0.1,114.8,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"1323320",366995010,"2019-01-01T04:45:33",18.44771,-66.09109,0,-112.9,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1323334",367396910,"2019-01-01T04:45:34",17.93678,-66.15603,0.1,145.4,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"1323479",367618240,"2019-01-01T04:44:38",18.22981,-65.62023,0,-91.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"1323500",367307990,"2019-01-01T04:45:26",17.80563,-66.24071,5.7,-135.7,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1323601",367515760,"2019-01-01T04:45:43",18.44811,-66.08943,0,-127.3,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"1323641",367128950,"2019-01-01T04:45:22",18.44772,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1324372",368001090,"2019-01-01T04:45:44",18.34331,-65.57047,0.2,134.8,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"1324846",338071607,"2019-01-01T04:46:11",18.4607,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1325157",366029970,"2019-01-01T04:45:32",18.4611,-66.09346,0.1,155.2,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1325377",367733250,"2019-01-01T04:45:39",18.45999,-66.08816,0,133,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"1325438",338162314,"2019-01-01T04:43:09",18.3417,-65.63868,0,0,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"1325990",338098422,"2019-01-01T04:43:19",18.28618,-65.63277,0,0,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"1326035",367128950,"2019-01-01T04:46:32",18.44773,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1326401",368008070,"2019-01-01T04:43:02",18.28733,-65.63242,0.1,189.7,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"1326554",246506000,"2019-01-01T04:43:33",18.4431,-65.3332,13.3,98.8,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1327093",230185000,"2019-01-01T04:43:15",18.44863,-66.08979,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
"1327155",368014910,"2019-01-01T04:43:17",17.93698,-66.15592,0,-139.8,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1327284",366995010,"2019-01-01T04:46:53",18.44771,-66.09108,0,-108.7,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1327324",366029970,"2019-01-01T04:46:43",18.4611,-66.09346,0,147.3,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1327740",368025180,"2019-01-01T04:43:30",18.45975,-66.08796,0,78.2,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"1328089",367396880,"2019-01-01T04:47:00",17.9367,-66.15606,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"1328100",338142008,"2019-01-01T04:43:35",18.30411,-65.29654,0.1,-85,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"1328201",367574560,"2019-01-01T04:43:30",18.28669,-65.63244,0,-124.7,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"1328435",338138014,"2019-01-01T04:43:48",18.45955,-66.08822,0.1,124.5,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"1328838",367433610,"2019-01-01T04:43:57",18.28736,-65.63236,0,-155.5,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"1328885",338536000,"2019-01-01T04:47:24",18.33528,-65.63119,0.1,-141.8,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"1329354",368020590,"2019-01-01T04:44:05",18.30508,-65.29883,0.2,149.1,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"1329526",338926417,"2019-01-01T04:47:17",18.45971,-66.11523,0,25.6,277,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"1330051",367719070,"2019-01-01T04:44:09",18.2875,-65.63334,0,128.3,511,"CHATEAU DU MER","","WDI6475",37,NA,NA,NA,NA,NA,"B"
"1330270",367307990,"2019-01-01T04:46:36",17.80566,-66.24273,5.9,-135.3,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1330281",235084084,"2019-01-01T04:43:12",18.45909,-66.08996,0.1,68.7,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"1330420",338173000,"2019-01-01T04:44:45",18.22969,-65.62006,0,142.4,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"1331149",366029970,"2019-01-01T04:48:03",18.4611,-66.09346,0.1,156.6,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1331187",367649980,"2019-01-01T04:44:21",18.28744,-65.63309,0,-140.2,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"1331323",367307990,"2019-01-01T04:47:56",17.80571,-66.24504,6.1,-135.5,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1331345",368008070,"2019-01-01T04:49:02",18.28733,-65.63241,0,189.7,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"1331444",338109829,"2019-01-01T04:44:43",18.33944,-65.63138,0,-130,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"1331676",368062690,"2019-01-01T04:44:25",18.28769,-65.63599,0,-49.6,511,"GURU","IMO0000000","WDK5208",37,NA,18,10,NA,NA,"B"
"1332004",367128950,"2019-01-01T04:47:53",18.44772,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1332117",367730640,"2019-01-01T04:44:24",18.2871,-65.63303,0.1,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"1332123",367618240,"2019-01-01T04:48:09",18.22982,-65.62023,0,-91.1,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"1332613",338071607,"2019-01-01T04:48:02",18.4607,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1332703",338238828,"2019-01-01T04:44:36",17.95486,-66.29216,0.1,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"1332762",246506000,"2019-01-01T04:44:44",18.44236,-65.32866,13.3,99.8,99,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1334224",367592540,"2019-01-01T04:49:02",18.30789,-65.29025,0.2,-110.3,511,"HADA","","WDG9920",37,NA,14,NA,NA,NA,"B"
"1334234",671932000,"2019-01-01T04:48:27",18.46301,-66.10326,0,-132.8,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"1334388",235084084,"2019-01-01T04:46:12",18.45908,-66.08996,0,68.7,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"1335331",339758000,"2019-01-01T04:45:15",18.4589,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1335483",367529160,"2019-01-01T04:45:13",18.44839,-66.08929,0,-115,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"1335640",367128950,"2019-01-01T04:49:03",18.44771,-66.09081,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1335766",338536000,"2019-01-01T04:48:44",18.33528,-65.63121,0,-131.9,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"1335904",367744930,"2019-01-01T04:45:30",18.28864,-65.63338,0,57.7,511,"RESPIRE","","WDI9068",37,NA,NA,NA,NA,NA,"B"
"1336048",366029970,"2019-01-01T04:49:11",18.46111,-66.09347,0,152.7,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1336694",367307990,"2019-01-01T04:49:06",17.80575,-66.2471,5.3,-140.7,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"1336807",319089300,"2019-01-01T04:49:23",18.45982,-66.09013,0,202.4,274,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"1336814",366995010,"2019-01-01T04:49:24",18.44772,-66.09109,0.1,-110.9,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"1337276",636018640,"2019-01-01T04:45:38",18.42961,-66.10724,0,131,195,"","","",NA,5,NA,NA,NA,NA,"A"
"1337532",338071607,"2019-01-01T04:49:41",18.4607,-66.09091,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1337825",367015490,"2019-01-01T04:45:44",18.05358,-65.83673,0.1,9,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"1337969",368014910,"2019-01-01T04:46:20",17.93699,-66.15596,0,-137.4,511,"","","",NA,5,NA,NA,NA,NA,"A"
"1338186",246506000,"2019-01-01T04:45:54",18.44165,-65.3242,13.2,98.8,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1338470",246506000,"2019-01-01T04:49:53",18.43916,-65.30898,13.2,100.1,98,"VEENDAM","IMO9102992","PHEO",60,0,219,30,7.7,69,"B"
"1338526",367775170,"2019-01-01T04:46:13",18.28786,-65.6356,0,88.7,511,"STRESS RELEASE","","WDJ4176",37,NA,NA,NA,NA,NA,"B"
"1338656",366722810,"2019-01-01T04:49:47",18.45992,-66.08803,0,171.9,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"1338685",230185000,"2019-01-01T04:46:15",18.44863,-66.0898,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
"1338708",338162314,"2019-01-01T04:46:08",18.34171,-65.63866,0,0,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"1338724",338098422,"2019-01-01T04:46:18",18.28618,-65.63273,0,87.7,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"1338733",368025180,"2019-01-01T04:46:31",18.45977,-66.08801,0,78.2,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"1339218",338926417,"2019-01-01T04:50:08",18.45972,-66.11524,0,81.9,277,"CG DONALD HORSLEY","","NDOE",90,15,NA,NA,NA,NA,"B"
"1339226",366029970,"2019-01-01T04:50:21",18.46111,-66.09346,0.1,141.7,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"1339471",367574560,"2019-01-01T04:46:28",18.28669,-65.63243,0,-124.2,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"1339660",338536000,"2019-01-01T04:50:13",18.33532,-65.63119,0,-142.1,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"1339900",338142008,"2019-01-01T04:46:33",18.30401,-65.2965,0.1,188.8,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"1340059",367555530,"2019-01-01T04:46:47",18.05351,-65.83679,0,168.9,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
