"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TranscieverClass"
"4839050",367618240,"2019-01-01T15:55:00",18.16504,-65.47386,18.2,105.3,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"4839365",366029970,"2019-01-01T15:55:01",18.46112,-66.09346,0,-195.3,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"4839400",319089300,"2019-01-01T15:55:31",18.45982,-66.09013,0,167,276,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"4839577",368020590,"2019-01-01T15:51:26",18.30513,-65.29884,0.5,164.3,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"4839737",338162314,"2019-01-01T15:55:08",18.34173,-65.6387,0.1,-66.2,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"4840327",367578350,"2019-01-01T15:55:41",18.30729,-65.10059,6.1,-133.1,511,"MARY SUNSHINE","","WDH7113",37,NA,18,NA,NA,NA,"B"
"4840379",338098422,"2019-01-01T15:55:17",18.28616,-65.63274,0,44.3,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"4840559",368008070,"2019-01-01T15:55:01",18.28736,-65.63244,0.1,139.5,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"4841003",338138014,"2019-01-01T15:55:48",18.45954,-66.08821,0,94.9,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"4841150",367592540,"2019-01-01T15:55:01",18.30802,-65.29028,0.4,153.1,511,"HADA","","WDG9920",37,NA,14,NA,NA,NA,"B"
"4841448",338536000,"2019-01-01T15:55:13",18.33529,-65.63116,0,-151.1,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"4841468",367774870,"2019-01-01T15:51:36",18.30379,-65.29462,2.2,103.9,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"4841696",367774870,"2019-01-01T15:55:09",18.30272,-65.29027,4.8,109.9,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"4841794",235084084,"2019-01-01T15:55:12",18.4591,-66.08996,0.1,183.3,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"4841928",203141400,"2019-01-01T15:55:57",18.15954,-65.26539,7.3,169.9,511,"LUSEA","IMO0000000","OEX7182",36,NA,14,4,NA,NA,"B"
"4842271",367396880,"2019-01-01T15:56:01",17.93671,-66.15601,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"4842356",366915910,"2019-01-01T15:55:23",18.33411,-65.60663,28.6,154.9,153,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4842512",367574560,"2019-01-01T15:55:29",18.28672,-65.63244,0,-161.9,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
